Borough,Station,2009,2010,2011,2012,2013,2014,∆,∆%,2014 Rank
Brooklyn,Rockaway Av,1480189,1499681,1548571,1574733,1615457,1641268,25811,1.60%,286
Brooklyn,Saratoga Av,1663923,1699652,1743578,1676421,1777399,1791700,14301,0.80%,262
Brooklyn,Sheepshead Bay,4361205,4481755,4096449,4148629,4205275,4201776,-3499,-0.10%,114
Brooklyn,Shepherd Av,922420,917964,930613,945113,988620,1027404,38784,3.90%,361
Brooklyn,Smith-9 Sts,1465834,1501360,577571,0,926087,1539209,613122,66.20%,296
Brooklyn,Sterling St,1636794,1743151,1787824,1803628,1866122,1785975,-80147,-4.30%,265
Brooklyn,Sutter Av,1168953,1280175,1303422,1383957,1449524,1499122,49598,3.40%,303
Brooklyn,Sutter Av-Rutland Rd,2219406,2317306,2370949,2288256,2419794,2467381,47587,2%,199
Brooklyn,Union St,2067255,2126492,2228520,2148505,2058555,2065047,6492,0.30%,234
Brooklyn,Utica Av,4235887,4272623,4437282,4530536,4726582,4878678,152096,3.20%,99
Brooklyn,Van Siclen Av,956623,1023416,1061359,1016466,1060055,1048755,-11300,-1.10%,359
Brooklyn,Van Siclen Av,869166,893234,901530,897528,941172,967947,26775,2.80%,366
Brooklyn,Van Siclen Av,808772,828566,886663,893665,913115,943663,30548,3.30%,369
Brooklyn,West 8 St-New York Aquarium,779782,867792,814749,767921,702810,741345,38535,5.50%,389
Brooklyn,Wilson Av,1067833,1089448,1093030,1115994,1243700,1393045,149345,12%,316
Brooklyn,Winthrop St,2006133,2110081,2173945,2171267,2275444,2263671,-11773,-0.50%,220
Brooklyn,York St,1913869,2041208,2251649,2344141,2666502,2760385,93883,3.50%,180
Manhattan,1 Av,6490329,6936132,7050336,7296576,7735905,8111070,375165,4.80%,46
Manhattan,103 St,4419549,4167100,4302101,4366343,4427199,4199559,-227640,-5.10%,115
Manhattan,103 St,4631356,4799555,4901637,4861001,5038138,5198601,160463,3.20%,90
Manhattan,103 St,1524460,1556919,1453267,1472319,1528633,1555514,26881,1.80%,295
Manhattan,110 St,3668518,3722821,3771563,3740549,3841826,3955522,113696,3%,125
Manhattan,116 St,3281869,3225207,3439949,3584234,3715803,3845140,129337,3.50%,134
Manhattan,116 St,4849246,5100170,5253753,5264035,5347692,5370343,22651,0.40%,85
Manhattan,116 St,1838683,1921860,1944599,2000033,2122084,2234662,112578,5.30%,222
Manhattan,116 St-Columbia University,4870652,4774192,4932065,4942022,5044561,4917691,-126870,-2.50%,97
Manhattan,125 St,2402477,2358252,2438449,2560513,2649847,2578729,-71118,-2.70%,188
Manhattan,125 St,4514621,4317843,4518487,4635697,4917465,5103216,185751,3.80%,92
Manhattan,125 St,8710718,8834429,8868272,8965496,9290210,9574765,284555,3.10%,34
Manhattan,125 St,7872649,8003946,8173608,8427453,8932680,9342667,409987,4.60%,35
Manhattan,135 St,4022802,4043860,4344677,4477110,4672352,4932623,260271,5.60%,96
Manhattan,135 St,1428140,1511387,1575802,1633467,1722204,1731602,9398,0.50%,272
Manhattan,137 St-City College,4523575,4436971,4546654,4634498,4825267,4542044,-283223,-5.90%,107
Manhattan,14 St   /8 Av,11129412,11795495,12415290,13044037,13903211,14340856,437645,3.10%,19
Manhattan,14 St     /6 Av,15220076,15029178,15199211,15487097,15844699,16215866,371167,2.30%,15
Manhattan,14 St-Union Sq,34245245,34730692,34927178,34639575,35309414,35677468,368054,1%,4
Manhattan,145 St,3128091,3115174,3138419,3289827,3274106,3364151,90045,2.80%,152
Manhattan,145 St,878906,873390,981914,1014623,1073259,1114674,41415,3.90%,352
Manhattan,145 St,6446603,6694537,6948193,7048936,7432177,7778992,346815,4.70%,52
Manhattan,155 St,1199677,1241223,1248295,1257551,1281168,1299098,17930,1.40%,326
Manhattan,155 St,710556,735801,792465,798881,822333,852716,30383,3.70%,377
Manhattan,157 St,3251747,3238373,3259408,3381015,3458058,3481873,23815,0.70%,147
Manhattan,163 St-Amsterdam Av,1142625,1193933,1221336,1230018,1317493,1390615,73122,5.60%,317
Manhattan,168 St,7532891,7325739,7500154,7503282,7884456,8090476,206020,2.60%,47
Manhattan,175 St,3500536,3783719,4029936,4028015,4154792,4187473,32681,0.80%,116
Manhattan,18 St,2407729,2435685,2497134,2533877,2585522,2622558,37036,1.40%,186
Manhattan,181 St,3551740,3429260,3171483,3496979,3608658,3751020,142362,3.90%,138
Manhattan,181 St,2877894,3106184,3245786,3242555,3309493,3456161,146668,4.40%,149
Manhattan,190 St,1177378,1287568,1445656,1473807,1472564,1458911,-13653,-0.90%,312
Manhattan,191 St,2432768,2344317,2318562,2512719,2598961,2700904,101943,3.90%,183
Manhattan,2 Av,5734200,5627896,5728217,5706955,5999079,5772265,-226814,-3.80%,74
Manhattan,207 St,1919631,1875395,2054287,2205288,1966949,2049587,82638,4.20%,236
Manhattan,215 St,635361,582955,583486,599790,638224,626312,-11912,-1.90%,397
Manhattan,23 St,4516335,4517687,4622230,4654520,4818903,4883773,64870,1.30%,98
Manhattan,23 St,8914123,8925824,8999142,8901705,9200337,9033835,-166502,-1.80%,37
Manhattan,23 St,6819642,6707382,7001778,7155940,7629811,7923005,293194,3.80%,49
Manhattan,23 St,7161707,7394628,7911886,8078511,8446249,8678810,232561,2.80%,40
Manhattan,23 St,5736345,5998303,6659479,6805210,6905704,7348879,443175,6.40%,58
Manhattan,28 St,3783842,3941656,4093901,4346501,4548738,4666347,117609,2.60%,103
Manhattan,28 St,6548905,6621732,6741400,6688570,7076992,7107083,30091,0.40%,61
Manhattan,28 St,2931184,3044555,3297714,3413315,3520209,3796977,276768,7.90%,135
Manhattan,3 Av,1886833,2060364,2048408,2182023,2310062,2473561,163499,7.10%,198
Manhattan,33 St,8958763,9090245,9220240,9374676,9756409,9798598,42189,0.40%,33
Manhattan,34 St-Herald Square,36945680,37769752,37731386,37154138,38213448,39285568,1072120,2.80%,3
Manhattan,34 St-Penn Station,27196195,26892243,26758623,27010176,27730331,28638643,908312,3.30%,5
Manhattan,34 St-Penn Station,24182097,24265016,24751771,24851746,25726374,26493571,767197,3%,6
Manhattan,42 St-Bryant Pk    /5 Av,13502111,13979224,14752187,14917245,15527439,15896805,369366,2.40%,17
Manhattan,47-50 Sts-Rockefeller Center,15977449,16517856,17466013,17091251,17759382,18236646,477264,2.70%,13
Manhattan,49 St,7817461,8139011,8121552,8186576,8155010,8544694,389684,4.80%,42
Manhattan,5 Av-53 St,6636192,6309404,6519696,6744422,7298061,7543062,245001,3.40%,56
Manhattan,5 Av-59 St,5582248,5770964,5893657,5941836,5927685,6155019,227334,3.80%,71
Manhattan,50 St,7477965,7465528,7647852,7927578,8074270,8450496,376226,4.70%,43
Manhattan,50 St,5543164,5407322,5573587,5714183,6259935,6867521,607586,9.70%,64
Manhattan,57 St ),4237742,4510875,4630781,4408190,4520733,4603639,82906,1.80%,104
Manhattan,57 St-7 Av,8766257,8804794,8613792,8726980,8945751,9314649,368898,4.10%,36
Manhattan,59 St-Columbus Circle,20418815,20711058,21300892,21599586,22774421,23566961,792540,3.50%,7
Manhattan,66 St-Lincoln Center,6714696,6783446,7089390,7367599,7527781,7772308,244527,3.20%,53
Manhattan,68 St-Hunter College,10311822,10165641,10481234,10373302,10520477,10545971,25494,0.20%,30
Manhattan,7 Av,4121196,4136423,4297779,4384090,4744808,5092341,347533,7.30%,93
Manhattan,72 St,11924279,12136784,12784301,13043031,13456906,13375012,-81894,-0.60%,22
Manhattan,72 St,2670067,2760109,2787379,2832934,2942517,3015722,73205,2.50%,169
Manhattan,77 St,10762089,10819466,11163007,11109431,11167386,11454604,287218,2.60%,28
Manhattan,79 St,5148529,5113161,5330857,5292422,5438078,5601595,163517,3%,78
